Duration (in seconds),Finished,UserLanguage,PROLIFIC_PID,Consent,EMOTION,Recall,Specific Event,4_Item_1,5_Item_1,6_Item_1,7_Item_1,8_Item_1,9_Item_1,10_Item_1,11_Item_1,12_Item_1,13_Item_1,14_Item_1,15_Item_1,16_Item_1,17_Item_1,18_Item_1,19_Item_1,20_Item_1,21_Item_1,22_Item_1,23_Item_1,24_Item_1,25_Item_1,26_Item_1,27_Item_1,28_Item_1,29_Item_1,30_Item_1,31_Item_1,32_Item_1,33_Item_1,34_Item_1,35_Item_1,36_Item_1,37_Item_1,38_Item_1,39_Item_1,40_Item_1,41_Item_1,42_Item_1,43_Item_1
409,True,EN,60c5e95f3d2d30135dbe62fe,I agree,LOVE,"I felt love when I first met and brought my house rabbit home. As soon as I held him in my arms and he snuggled into my neck, I knew that the love I felt for him would never end.",Meeting my house rabbit,3,8,6,8,3,6,3,7,3,1,9,6,3,4,7,3,2,7,7,7,1,8,6,7,8,8,2,2,1,8,8,7,7,3,8,8,1,7,4,-99
812,True,EN,5d4c899338e4c5001771e16f,I agree,APPROVAL,"The first incident that came to mind is last summer when I took an entrance exam for nursing school. I'd studied very hard, but had a lot of anxiety going into the test. However, my work paid off and I scored very high - in the 99th percentile nationally. I spoke to my school counselor soon afterwards and he spent a good while making sure I understood how exceptional my score was. His approval felt good, along with the assurance that this score guaranteed my acceptance into the nursing program.",My counselor talking to me about my score,3,1,9,9,7,8,7,2,3,4,9,7,6,3,6,1,8,8,2,9,1,1,1,9,9,9,1,9,1,9,8,6,1,9,9,6,1,6,4,-99
616,True,EN,613dfb8f6035de19f201561c,I agree,FEAR,When my child was four years old she was investigated for a serious life-threatening illness. Waiting for the results of her tests caused me to feel fear.,Long term prognosis,1,1,1,5,1,1,1,9,1,1,9,1,9,1,9,1,2,1,7,2,1,9,9,8,9,9,9,8,1,1,9,1,3,1,9,8,9,1,4,-99
1110,True,EN,608af0fff2fc159fea5ff500,I agree,SURPRISE,"It was my birthday and I had not made any plans to celebrate it. What I didn't know was that my cousin had gathered a couple of my friends and threw me a surprise birthday party at one of my favourite restaurants. I was really surprised when I arrived, only expecting it to me and her, only to see my group of friends waiting there for me.",People coming together to celebrate me,1,9,5,9,9,9,1,9,1,2,9,8,9,1,7,1,1,9,6,8,1,9,7,9,2,9,1,7,1,-99,9,9,7,2,7,-99,1,-99,4,-99
567,True,EN,61013ea4ab64d9fdfcf85871,I agree,REALIZATION,"The moment I realised that England was not going to win the Euro's in 2021. I had the hope and belief in England all the way through and kept up the faith through the up's and downs but could a nagging feeling that if the game in the finals went to penalties, we would lose to the Italians.
As soon as the whistle went i just knew we would lose, but the realisation didn't really sink in until the announcer announced it afterwards.","The commentator. ",9,1,9,1,9,7,1,1,1,1,7,2,3,9,9,7,6,7,9,3,8,9,1,1,8,9,8,2,1,1,9,2,9,3,6,7,3,9,4,-99
512,True,EN,60509a0a3b167b0b85516e9a,I agree,SADNESS,"My father died just before Christmas and his funeral was last week. My partner and I traveled for 2.5 hours to be there. I felt very sad and upset, and cried a lot during the day.",The death of my father.,2,1,3,4,1,1,1,9,1,1,8,6,8,1,1,1,6,8,1,7,6,8,6,9,7,6,3,5,1,3,9,5,7,1,8,7,2,4,4,-99
568,True,EN,5f9b0a89d54fa92cb708c212,I agree,CARING,"I was very poorly and admitted in the hospital a few months ago. It was a period when my partner just started a new job and was just settling into the new role and as such taking time off work would make it difficult for her to catch up.
She however found ways to swap her shifts such that she could available to stay with me in the hospital when visitors were allowed due to COVID restrictions. She would also take time to make me the meals I loved despite her busy schedule and bring them for me.",Illness,1,2,1,2,1,1,1,4,1,5,6,5,8,2,4,4,3,1,7,8,-99,8,9,6,7,1,6,8,8,7,9,5,6,-99,7,7,7,8,4,-99
522,True,EN,610d1cf3c7b4411f1643e501,I agree,ANNOYANCE,"I felt annoyance a long time ago when my best friend did something that i didin't see coming and it hurt me badly.

On that occasion, he deleted something precious to me that i cared a lot about.",My friend deleted something that i cared for.,2,2,2,7,9,9,1,8,2,7,2,7,9,1,7,7,9,7,7,7,2,7,1,9,3,5,5,8,1,2,7,4,8,7,9,9,7,7,4,-99
334,True,EN,5c5b43502bb5e100019239f1,I agree,FEAR,"I felt fear on the morning of an exam, I had missed the train and was afraid I was going to be late. The whole morning was a worry and panic as I started to feel like I would forget what I revised as well as being anxious I would miss the exam and be marked down.",The fear of failing,2,3,2,2,1,1,5,1,6,6,1,5,5,7,6,8,8,5,2,4,2,2,1,1,8,2,9,7,1,9,4,6,1,4,8,6,6,7,4,-99
279,True,EN,5fff11332f30d263176fa57f,I agree,APPROVAL,My mother texted me to congratulate me on having a research paper published. It showed she was impressed with doing it,Text message from mother,6,8,7,5,7,6,4,9,7,4,7,8,8,7,3,1,9,3,5,1,9,6,1,7,6,6,2,5,1,8,7,6,7,6,6,4,3,3,4,9
536,True,EN,5e377e7147f5527223aee301,I agree,DESIRE,"I kept seeing this girl on my timeline on Twitter. At some point she ended up posting a photo of herself. I thought she was extremely gorgeous after already finding her very funny and interesting. I wanted her badly. I ended up following her, but didn't receive a followback. I decided to just message her anyways. A simple ""hi"" and she replied. We ended up texting for 3 days then went out on a date and we've dated since.",She's witty and passionate and beautiful too.,3,9,9,9,2,1,1,9,4,1,-99,1,9,8,5,1,1,3,5,9,6,7,9,9,2,9,2,7,1,1,9,6,1,1,9,1,7,7,4,-99
399,True,EN,5f200d7923978b03c9901f2a,I agree,GRATITUDE,I had just had some difficult news about my health just before Christmas and my son offered to come home early and take over all the cooking. I felt so grateful to him because I just didn't feel up to it.,my son offering to take over the cooking,2,8,6,5,9,9,1,9,2,1,7,6,9,2,6,1,2,5,3,9,6,9,7,9,7,9,5,9,1,5,9,5,8,1,8,7,1,-99,4,-99
444,True,EN,5f26ce69087bee36e846e2cb,I agree,ADMIRATION,"My new boss had to cope with two floods, another major incident and Covid all within the first few months of starting the role. She coped really well, and never once complained or seemed phased by events.",not being phased by the events,2,1,1,1,6,1,1,4,1,-99,7,1,9,1,1,1,6,1,1,-99,-99,9,2,8,3,8,6,2,9,3,9,-99,1,1,7,1,9,-99,9,-99
874,True,EN,5885129a6907b40001de425a,I agree,OPTIMISM,"in 2006 we had just bought our first house, wedding was in a couple of weeks and i found out i was pregnant",finding out i was pregnant,6,6,9,6,8,5,5,9,5,4,7,6,8,3,8,5,7,7,8,7,7,6,9,1,8,6,3,1,5,9,9,6,6,6,7,5,6,2,4,-99
710,True,EN,60b7ed35fdba3e674240d09a,I agree,REMORSE,I felt remorse when I failed to stand up for a friend who needed help. I had the chance to help out but I did not and that made me feel guilty.,"When I failed to stand up for a friend ",2,1,3,5,7,8,4,8,7,7,4,7,7,6,6,3,6,4,6,6,4,8,6,6,4,8,6,6,6,8,7,7,4,5,6,3,6,4,4,-99
346,True,EN,5af2f9d5dd84460001c1dd2a,I agree,GRIEF,"I felt grief when my half sister died, unexpectedly, in an accident. I was having coffee with a friend and received a phone call telling me the bad news (from someone I'd never spoken to before)",My sister died,1,1,1,-99,5,2,1,9,1,1,5,2,9,1,5,2,9,1,1,2,1,9,9,8,9,5,7,5,1,1,9,5,8,1,9,9,1,8,4,-99
482,True,EN,5b295f60bbd4880001117976,I agree,ANNOYANCE,At work there were mistakes in a project and it was assumed that it was  my part of the project rather than someone else's where the issues were more likely.,Person saying I would need to check all my items,2,2,2,3,8,1,1,3,2,2,4,6,8,3,6,1,2,4,6,6,-99,7,-99,8,6,4,6,7,1,7,6,3,7,3,7,7,3,4,4,-99
492,True,EN,59d50c3d115096000190dd48,I agree,GRATITUDE,"I was out for a walk with my boyfriend at our favourite woodland/lake. The sun was shining and it was so warm and bright, with lots of wildlife. It was very peaceful. He picked out a lovely spot across the lake so we took our shoes off and waded through the water. We sat down for a while enjoying the shade and had some tasty lunch. Just as we were getting up to leave, he said wait a second and I turned around thinking I'd dropped something only to see him proposing. It is such a special place for us and I was so grateful for him in my life.",My boyfriend proposed,2,9,9,9,9,9,2,9,4,1,7,2,8,2,5,5,1,9,1,6,7,9,2,9,5,9,6,1,1,1,9,7,2,5,9,9,1,1,4,-99
643,True,EN,612b5a2c55286e4cf74a63ee,I agree,GRIEF,I remember losing my Grandma several years ago. It wasn't too much of a shock as she had been ill for a while however when the sad event did occur it was a blow to both myself and family. I remember feeling very sad and empty and life seemed a slog for a short while. After the funeral the finality of her death hit me but I was able to begin to come to terms with it to the point where after a few weeks I could look back on happy memories rather than being so sad.,The death of my grandma.,6,1,-99,-99,-99,1,1,9,1,1,8,5,3,1,2,1,6,-99,1,7,7,9,8,7,9,1,7,9,1,1,8,-99,8,2,9,6,1,1,4,-99
341,True,EN,5ce19e6045dccf00155889a7,I agree,SURPRISE,Emma raducanu winning the US open was incredibly surprising given her age and experience within tennis.,The act of winning,5,5,1,9,9,9,1,1,1,1,9,1,5,3,7,1,5,5,5,-99,1,9,9,1,1,-99,1,5,1,1,7,1,1,1,5,1,5,1,4,-99
893,True,EN,6155eceaba5f44c570353c6a,I agree,DESIRE,"When I was younger I desired a holiday in St. Lucia. I had an acquaintance who was going to book this trip, and it was actually booked. Unfortunately, I suffered a financial loss and was unable to fulfill my half of the bargain, so my acquantance went with someone else instead. This led to a feeling of deep disappointment.",A chance conversation about this shared desire.,9,9,8,9,8,5,5,6,7,3,8,7,9,4,9,1,1,8,2,7,7,2,5,9,4,2,3,5,1,3,9,8,9,8,8,9,9,2,4,-99
746,True,EN,5a9dd20b4eecca0001dd9f1d,I agree,OPTIMISM,"In 2014, Scotland had a referendum on gaining back its independence from the UK Westminster Parliment. I had very high hopes that the future of my country would finally be back in our own hands after 300 years London rule.

The optimisim turned to sorrow after the results came back and the independence campaign lost 55% to 45%.

Now look at the state of the whole UK.",Independence Referendum,7,3,7,1,3,7,1,8,1,3,8,6,1,4,5,1,3,1,4,6,4,9,1,7,7,6,3,2,2,2,9,8,7,3,9,6,6,2,4,-99
534,True,EN,579f55486475d400015ab683,I agree,AMUSEMENT,I sent my daughter out to collect fish and chips I ordered online. She got to the shop and said they didn't have the order. I gave her the number and she said it didn't sound right but would sort it. When she got home she had the fish and chips but not from the shop I had ordered it from.,The moment the penny dropped and I saw the bag.,1,1,2,9,9,1,8,9,8,9,4,1,8,1,2,1,5,6,1,9,3,2,1,6,1,5,1,9,1,6,5,5,1,4,2,3,1,1,4,-99
465,True,EN,5f4576f6d372e717986fbade,I agree,CARING,"When my Nan lost my Grandad and had a fall, I would check on her all the time and do her food shopping and keep her company.",I was providing care and company for her.,4,1,1,1,3,1,1,8,1,1,5,1,9,1,6,1,6,1,6,6,1,9,2,9,1,1,3,4,1,1,9,1,4,2,6,3,1,1,4,-99
457,True,EN,605dd566e714dcc87f884853,I agree,AMUSEMENT,"I remember the day when our group of friends made our way into a Fair in big city. That day we were trying various new things and experiences in our life's like for example - trying rare food from other parts of the world or going for big roller-coaster. ","Roller coaster ride ",8,7,5,5,7,8,2,9,6,-99,3,6,1,8,6,7,3,-99,7,8,5,8,8,5,2,-99,7,8,3,-99,7,3,6,2,8,2,6,3,4,-99
593,True,EN,5c0037e88acfed00011af0e4,I agree,REMORSE,I was at home with my parents and I was really frustrated because I could not understand my school work and I ended up shouting at my parents for trying to help me because I was frustrated and then afterwards I felt remorse and guilty for doing that,"shouting at my parents ",2,2,2,1,3,7,9,9,7,5,6,6,8,2,6,5,7,2,2,7,2,6,4,9,6,6,7,7,1,7,6,3,7,4,6,7,4,2,4,-99
434,True,EN,5f032da8d02aa11ef3ccabeb,I agree,ANNOYANCE,"I recently felt annoyance with my management at work due to their handling of a stressful situation. My headteacher was stressed about an upcoming inspection, and had asked me to help to prepare some timetables for the inspectors, giving me a very very tight deadline, and expecting them all printed and annotated within about 15 minutes. It took a lot longer than asked, with me working flat-out to get it done. I also realised later in the day that there was an error with a teacher being scheduled to be out of his lesson, which my line manager had not clarified, confirmed or planned for. I raised this and I was then the one who was facing my headteacher's anger that the timetables had gone out later than he asked, and were then incorrect. This annoyed me because I had tried my best to get it done, and it was not something I had done that had caused the issue. I also felt annoyed that the senior leadership weren't taking responsibility for the matters, and were passing it down to me. ",Being blamed when it wasn't my fault,4,1,-99,2,8,3,2,6,1,2,4,6,6,2,6,2,6,6,7,6,8,8,1,9,3,1,8,5,1,6,7,2,6,2,8,4,4,6,4,-99
310,True,EN,55cff4a834e9060012e57407,I agree,DESIRE,"A time I felt desire is... well, it has been quite a constant feeling for me for some time now as I have been in a difficult long-distance relationship. My desire is to be able to actually live close to the person I love, so that I can see them more regularly, spend time with them in person, and to feel emotional and physical connection with them. The desire was, and still is, very strong.",Being in a long distance relationship.,7,3,6,2,7,-99,5,9,3,8,-99,7,2,6,6,2,8,4,5,7,8,9,5,9,9,5,8,1,1,3,9,6,9,7,9,9,5,3,4,-99
324,True,EN,5de25e3fce20cd28846a7d5b,I agree,PRIDE,"I felt pride whilst watching my daughters perform in a dance show/competition and marveled at the confidence and expression shown. Likewise I felt pride at the maturity, understanding, exuberance and fun shown by my son whilst playing for his football team. ",Performance,4,6,8,3,2,7,1,9,6,2,8,5,3,8,7,3,6,4,6,5,7,6,7,4,2,6,2,2,1,1,9,4,4,2,8,6,1,7,4,-99
449,True,EN,5f58ad1de350f30278169535,I agree,SURPRISE,One day last summer a friend I hadn't been in contact with for ages (no phone calls or texts) knocked on my front door and came in for a chat,I had not expected this person to contact me atall,2,6,-99,8,9,9,1,6,2,2,8,-99,9,-99,-99,1,1,6,4,9,6,8,1,9,1,4,-99,8,1,-99,7,-99,7,1,8,6,1,-99,4,-99
641,True,EN,5e3c447f33122a0230476441,I agree,EMBARRASSMENT,I had pictures taken at Christmas and couldn't believe how much weight I'd but on during lockdown. I destroyed/deleted the photographs as I was embarrassed by my weight gain.,Self-consciousness about my body.,6,1,2,5,1,1,9,2,9,8,1,9,6,6,7,6,8,1,8,6,6,2,9,1,4,9,1,1,1,9,7,7,6,9,8,7,1,7,4,1
284,True,EN,5bc63a7e186a6500016a127d,I agree,ADMIRATION,"When a work colleague helped me out with a load of work when I had an excess amount of work come in. ",The work colleague's thoughtfulness and effort,3,6,8,5,4,8,2,5,1,3,7,2,6,6,6,1,8,2,6,2,3,8,1,9,4,6,9,7,1,6,7,4,6,1,7,6,1,6,4,-99
313,True,EN,602a92432b8e88094f75598b,I agree,DISAPPOINTMENT,"Because of the COVID pandemic, I had to make the decision to cancel my planned wedding in order to be responsible and protect the health of myself, friends and family. ",The COVID pandemic,1,1,1,1,1,1,1,8,1,1,5,1,6,1,6,3,4,2,5,6,4,9,7,5,8,3,6,1,6,1,9,1,6,1,8,7,9,1,6,-99
972,True,EN,5c4f91fd97483d0001567f1b,I agree,ANNOYANCE,When I was trying to reverse into a really tight space... the more attempts I made and the further away I was from correctly fitting in the space,That I wasn't able to correctly reverse,4,-99,6,7,5,9,7,-99,9,6,-99,6,3,6,-99,2,4,5,5,6,5,3,-99,1,5,7,6,9,1,7,2,5,1,7,5,4,3,-99,4,-99
460,True,EN,5e529025f1ecb42a44a8eac4,I agree,CURIOSITY,"In my work role, understanding the position I was doing with an interest to know how to complete the work I didn't know how to do or to understand. I was determined to learn and improve my knowledge.",Not knowing how to resolve something,6,3,9,-99,4,-99,7,-99,8,9,8,9,5,6,7,4,6,3,8,2,8,-99,2,-99,8,6,6,6,1,7,4,7,6,9,-99,6,2,8,4,-99
884,True,EN,5abe42840527ba0001c1db23,I agree,SURPRISE,"One day recently an old student friend, with whom I lost contact over 30 years before, tracked me down and contacted me through a social media site.",An unexpected messsage from the owner of the site.,2,8,6,9,8,9,3,8,4,-99,-99,7,8,2,7,9,6,2,3,8,7,8,1,9,7,7,2,2,1,7,9,6,7,6,9,7,4,7,4,-99
410,True,EN,6155f2c84aedcacc95fb188d,I agree,CURIOSITY,I walked past a house that was for sale and wondered what it was like inside and how much it was on the market for.,I wanted to look inside,3,7,8,5,2,1,8,3,8,4,7,1,8,8,8,1,6,4,7,-99,-99,7,1,2,-99,6,1,8,1,8,2,7,1,6,7,6,1,1,4,-99
310,True,EN,5fbfffc4e214a60ab1b745fd,I agree,REMORSE,"In my work I have to set up science experiments for teachers to do with their classes in school, one time I'd set up the experiment wrong causing a class to then be disrupted while we fixed it ",That the class had been disrupted,2,2,-99,5,9,2,9,6,9,7,-99,7,7,2,6,-99,4,5,4,7,6,2,1,8,3,-99,6,8,1,3,7,-99,1,2,9,2,6,7,4,-99
495,True,EN,615775600e2077dbe5305065,I agree,CONFUSION,"This occurred during one of my internships when my manager reviewed my work and requested the addition of something that was against conventional standards. Considering this was an accounting role, and following standards is crucial for a successful future audit, I was confused as to how implementing the instructions would play out during the audit. However, I sat with my manager and we reached a reconciliation on the best way to proceed with his demand, without having to violate the standard.","The instruction to include a non-standard account ",2,2,2,-99,9,9,2,7,6,3,4,4,7,7,3,1,2,7,6,9,-99,9,1,9,1,6,6,3,1,7,7,6,1,1,6,1,6,3,4,-99
723,True,EN,5fad28d8cf22483c1433ca0f,I agree,GRIEF,"A few months back one of my friends past away by drowning at a beach, he was caught in a riptide. The story behind it made it even harder to take. He wasn't from my city, he has been here the past 2 years completing his masters research and he just finished it. 

A few days after he finished it his younger brothers came by to visit him, to sight-see, he took them to the beach. That. He was the beacon of hope for his family, he had just submitted his masters thesis and had his whole life ahead of him and he was gone in an instant. It felt worse for me because on the day that it happened he wanted to meet me in the morning and I told him I can't because I was busy. I'm extremely regretful because things could have played out differently had I met him that day.",Death of my friend,1,1,-99,2,7,1,6,7,7,8,7,6,8,2,4,1,7,4,4,3,2,7,8,6,6,6,6,6,2,3,8,6,7,3,7,6,3,7,4,-99
271,True,EN,615172c4fbb4722c8f004de7,I agree,EXCITEMENT,"Hanging out with friends in the city after months of corona lock down . We ate and chatted about random stuff. ",Being able to see friends again after a long time,7,7,7,6,7,8,5,8,7,7,7,5,2,7,7,-99,-99,5,7,7,-99,9,6,9,-99,7,3,7,1,5,6,7,7,-99,8,7,3,-99,4,-99
499,True,EN,598b108e504c5200011964a1,I agree,ANGER,"I felt very angry the other day with my husband because he disregards my feelings sometimes. I try to communicate them to him and he dismissed them on that occasion. ","Dismissal of my feelings. ",5,3,9,2,9,4,1,9,4,6,4,6,3,5,8,1,6,7,5,7,6,9,1,9,8,9,9,8,1,1,7,8,7,3,9,6,1,4,4,-99
541,True,EN,5c9bd1c1a586fd00014d5dad,I agree,ADMIRATION,I felt admiration when my friend released a note pad on Amazon.  It had self-development quotes on each page. The illustrations that went with it were amazing.  I was impressed that she was able to do such brilliant drawings with powerful words to accompany them.,Seeing the finished product.,4,8,8,-99,9,9,2,8,6,7,-99,7,6,6,6,3,4,-99,9,-99,9,8,6,2,3,7,1,4,1,4,6,2,5,4,9,6,1,8,4,-99
1086,True,EN,5f00bae43963d01dbe11a1fc,I agree,RELIEF,The time I gave most of my family covid but they eventually all recovered from it. It was a time when everything about covid was scary so it was a worrying time,That everyone was ok,6,4,1,5,5,1,6,9,1,3,4,7,8,8,5,4,6,4,6,6,2,2,9,6,9,4,6,6,6,5,9,7,6,6,8,6,9,4,4,-99
357,True,EN,5e10a8d7082675772608b463,I agree,GRIEF,"My grandad passed away. He had been ill for some time but his death was unexpected. It was very difficult to come to terms with. ",My grandad's death,6,1,-99,2,1,1,1,9,1,1,7,1,8,2,7,1,8,3,1,7,3,9,-99,-99,4,7,3,4,1,2,9,-99,6,1,7,6,1,2,4,-99
470,True,EN,5f9e0b03428ebf3b96bbb035,I agree,EXCITEMENT,"I was really excited to be going to Thorpe Park. So much so, security checked my bag, possibly thinking I was on some kind of narcotics. I guess I was a bit too excited! ",The prospect of going on all the rides,9,7,8,5,2,8,7,7,7,6,5,5,2,7,9,7,6,7,6,9,6,8,9,7,2,6,2,9,2,7,8,5,5,3,8,7,2,2,4,-99
818,True,EN,5bf769ac2dd20c00013188d1,I agree,RELIEF,"It was a few years ago. I had lost contact with a friend who was going through a hard time. I tried texting them several times but didn't get any messages back. I started to worry they might of harmed themselves. Thankfully after a couple months I finally got messages back from them. They reassured me everything was okay. 

While moving from the GTA to Kingston they had ended up losing their phone. A family issue led her to moving back home and she had gotten a phone from her sister. Hearing from her and her letting me know everything was okay definitely erased the stress I had been feeling. ",Recieving texts back from my friend,6,7,6,9,9,1,2,9,3,-99,7,-99,8,1,1,3,1,3,7,9,8,8,1,9,7,6,1,8,1,3,9,2,8,1,7,-99,1,-99,4,-99
964,True,EN,60b880518b31da36270782eb,I agree,PRIDE,When I got recognition for passing a module very well last year after not doing very well in the past.,Yes,8,9,9,9,9,8,9,1,9,9,1,9,1,2,7,7,9,7,9,8,-99,6,2,1,8,6,9,-99,1,9,9,8,3,9,9,9,1,8,4,-99
334,True,EN,5c9a864efb57e6001796ee49,I agree,EXCITEMENT,I felt excitement when I discovered a Reiki course that I wanted to study. I felt particularly draw to study this healing method and found a local opportunity to study this.,Because I feel a closeness to this area of study,1,9,9,9,2,9,5,5,9,2,9,9,7,5,9,7,1,9,9,9,8,2,9,6,9,8,1,1,1,9,9,9,9,9,9,7,1,9,4,-99
1137,True,EN,5fd25420fc18fb0008f9e30e,I agree,ADMIRATION,"I saw a post on Facebook, It was a video of a guy in tears and praying for children he saw selling on the road so they could have money for food he bought everything from the kids so they could go home ,the video was captioned with his story of how he was once in the same situation and how he is now successful. I admired him for how hard he worked to get where he is today.",Him helping the kids,5,7,1,9,6,1,1,1,1,1,9,1,6,6,5,1,6,7,7,6,9,9,1,1,1,9,1,5,1,1,9,1,1,1,9,7,1,7,4,-99
375,True,EN,5d87a74208667b0001eff922,I agree,RELIEF,I had some tests done at the hospital and when I get the results everything was ok.  I felt shear relief,Negative results,7,-99,-99,-99,-99,1,-99,2,1,2,-99,2,-99,1,6,-99,-99,7,-99,6,-99,8,8,-99,8,8,9,-99,2,9,9,-99,-99,1,9,9,-99,6,4,-99
808,True,EN,6159f6930f0fee3e48196ee3,I agree,OPTIMISM,"I went for a job interview and felt which went very well, there was a lot of things that felt right. and of which the interviewer seemed very happy with I felt Optimistic of the out come of the interview  ","The interview went verry well ",9,7,9,9,7,7,2,1,8,9,9,8,2,6,1,4,1,8,7,9,6,4,8,9,9,5,9,1,2,1,7,7,9,6,9,6,6,7,4,-99
888,True,EN,60c4c5e3253d7f15de0bc71a,I agree,DISAPPROVAL,Me and my previous line manager had a difference with my KPI. I told my manager that they were being unfair to rate me on the work they never even tasked me with. I had to tell the manager I do not approve of their leadership style and will seek intervention from HR.,Being unfairly rated for performance review.,7,-99,9,1,9,8,1,6,3,3,1,8,8,1,5,7,7,2,7,6,-99,7,-99,6,9,2,7,7,1,8,9,-99,7,8,-99,8,3,7,4,-99
349,True,EN,60fbf4d7cfe30967ace0fa19,I agree,DISGUST,"I had an issue with someone once and said something that u felt disgust with myself at.  The argument was not a good one and i did feel bad after with myself, ",Argument,3,2,6,3,6,3,6,3,6,6,6,4,8,3,3,4,3,6,3,7,4,8,4,6,4,3,4,7,6,4,5,3,4,4,2,6,3,3,4,-99
543,True,EN,5fde67dc2cd5d05f67099ce8,I agree,CARING,"When my household had to isolate because one person had Covid, I offered to organise buying groceries for the person who had Covid to make sure they were ok and had all they needed. ",I went out of my way to do something that this per,1,1,5,1,6,5,5,1,9,1,9,1,9,1,5,1,1,5,5,5,5,5,5,6,1,5,6,8,4,5,5,8,5,8,6,2,1,5,4,-99
462,True,EN,5687d434369319000c269c03,I agree,ANNOYANCE,"I had been waiting in for a delivery for days, they didn't say when it would arrive. Then one morning I needed to go out to the shops, and when I got back I discovered that the postman had rung the doorbell and got no answer, so I missed the parcel.",unreliability of postal service,6,1,1,4,1,5,4,5,4,2,4,6,3,8,7,1,8,3,9,6,1,9,2,4,7,4,6,3,1,6,9,5,6,3,9,7,4,1,4,-99
311,True,EN,60f93b9311126d9fe901b98e,I agree,REMORSE,I was just walking on the road and then I heard someone scream behind me. I turned around and I saw two boys running away from a woman. They seem to be related to the woman but I felt remorse for not going up to the woman and asking her if she is alright.,"Not helping people around me ",1,2,4,-99,8,1,7,-99,3,-99,6,6,8,6,3,-99,7,2,3,6,7,4,-99,-99,3,-99,-99,4,1,8,7,6,6,6,3,7,-99,7,4,-99
346,True,EN,5db48848cbe43e000c3c6c2d,I agree,DESIRE,"I felt a strong desire for someone that I couldn't have, or even be friends with. It was very difficult because I saw that person everyday, I think they felt the same way but nothing ever happened between us. ",A connection,7,2,6,1,8,6,5,2,2,5,3,5,8,2,5,2,3,7,2,8,2,6,7,7,7,2,8,6,1,6,8,5,7,6,8,4,2,4,4,-99
455,True,EN,5cc5c31a89c84a0001377a39,I agree,ANNOYANCE,A motorist cut me off on a roundabout without accepting how dangerous and inconsiderate what they were doing was,self importance,6,6,6,6,6,6,6,6,6,4,9,6,6,6,6,6,5,6,9,6,-99,6,6,6,9,6,9,4,6,6,6,6,6,6,6,6,6,6,9,6
402,True,EN,613a567f9aba9a52e21e59d6,I agree,ANGER,"I live in a corner house and every single day when I return home from work, someone is blocking my drive with their car. Delivery drivers, other neighbours, relatives of the neighbours. So I have to park down the street and walk back to my home.",Being blocked out of my own drive again,8,1,1,1,9,8,1,1,1,3,2,2,3,7,8,1,8,4,9,4,1,8,1,1,2,1,1,1,1,2,7,1,2,1,9,1,7,1,4,-99
442,True,EN,5da2f9f17809b60014fc839a,I agree,DISAPPOINTMENT,"I remember when I received my A level results when I was 18. I had always been a conscientious and high-achieving student throughout my entire school career. There had been no advance warning, my mock results had been fine. So when I opened my results I was very unpleasantly surprised to find my results were bad. It was so disappointing that I think it affected me for a long time. I didn't even think of sitting retakes. It affected my future plans.",Doing worse in my A level results than expected.,1,1,9,5,8,1,9,8,8,3,8,9,8,1,6,5,6,3,6,6,4,9,1,5,9,7,8,1,1,9,8,4,6,9,8,8,1,7,4,-99
310,True,EN,5c02d554cf0f88000174a980,I agree,CARING,"One of my friends was having a hard time mentally, and needed someone to talk to. i took the time to listen to their problems, not interjecting at any points, and was able to be there with them in their hard times. Talking wasn't needed while there, the only thing i had to do was sit with them and listen to what they had to say, and allow them to know that someone was there for them.",Being available,6,2,4,5,9,9,1,9,1,9,7,7,8,7,8,6,4,3,6,7,6,1,6,9,3,2,7,2,1,8,6,6,8,8,9,1,7,1,4,-99
491,True,EN,5eb463628b63a22bad15771c,I agree,LOVE,"I realised I loved spending time with this person and hated leaving them - I would think about them all the time we were apart. This person made me feel happy, supported, and made me laugh all the time",Being helped through a difficult family time,4,1,7,3,8,8,4,7,7,7,4,8,4,6,4,7,6,4,2,8,8,8,2,7,9,3,8,2,1,9,8,7,9,6,9,6,6,4,4,-99
576,True,EN,60fe3694c065634d2cc9417d,I agree,JOY,"I went out with a friend who was having a hard time and she was enjoying herself, watching the smile on her face made me feel joy.",My friend smiling,4,6,7,8,4,6,3,8,4,6,7,8,4,6,4,1,7,3,7,6,6,7,4,7,1,8,3,3,1,4,8,5,8,3,7,6,1,3,4,-99
584,True,EN,61582df626e9a020f1e55bc1,I agree,SADNESS,"My boyfriend had just got in from work, my brother and his wife were here, he called me out of the room to have a word with him, when I left the room, he said he thought he might be having a heart attack, he then collapsed, the ambulance was called, followed by the air ambulance, the emergency services were really struggling to keep him alive, he did at hospital shortly after. ","The death of a partner and dear friend. ",1,1,1,1,-99,1,1,9,1,2,9,7,9,1,6,-99,9,9,-99,1,1,9,9,8,9,8,7,9,1,1,9,-99,8,1,9,9,-99,3,4,-99
524,True,EN,60473e7a0b6ed71b9b7a607f,I agree,REALIZATION,"In the middle of the night, I heard a noise coming from the garden. It was an unusual noise, one I have not heard before.
I got out of bed, went downstairs and turned the lights on, only to realise there was fox climbing up and down the fence.",Noise,1,-99,-99,-99,1,1,1,1,1,1,-99,1,7,3,-99,1,3,8,9,7,2,9,1,1,1,7,1,5,1,1,3,-99,1,1,9,1,6,3,4,-99
